Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150911_KBayRecov_Mcap_copyno_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-11 15:55:13 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
F5,72-2,D,UNKNOWN,FAM,NFQ-MGB,28.10002708,28.28155518,0.160247684,614.9563599,548.5993042,58.39945984,TRUE,0.022887675,TRUE,3,26,,N,N,N
F6,72-3,C,UNKNOWN,VIC,NFQ-MGB,24.30670738,24.44729042,0.151140004,48706.23047,44422.28516,4513.585938,TRUE,0.031990853,TRUE,3,22,,N,N,N
F6,72-3,D,UNKNOWN,FAM,NFQ-MGB,27.80650139,27.8319931,0.039423857,744.0501099,731.9973145,18.59742355,TRUE,0.022887675,TRUE,3,26,,N,N,N
F7,80-1,C,UNKNOWN,VIC,NFQ-MGB,25.12713432,25.14896965,0.021450404,27886.37695,27477.52344,400.7860107,TRUE,0.031990853,TRUE,3,23,,N,N,N
F7,80-1,D,UNKNOWN,FAM,NFQ-MGB,28.98301315,29.01368713,0.082299672,346.650177,340.1357727,17.93170166,TRUE,0.022887675,TRUE,3,27,,N,N,N
F8,80-2,C,UNKNOWN,VIC,NFQ-MGB,25.07504654,25.16316795,0.150455087,28891.39844,27304.75586,2705.508789,TRUE,0.031990853,TRUE,3,23,,N,N,N
F8,80-2,D,UNKNOWN,FAM,NFQ-MGB,28.61449242,28.88729286,0.383700341,440.3456726,376.2079773,86.79428864,TRUE,0.022887675,TRUE,3,27,,N,N,N
F9,69-1,C,UNKNOWN,VIC,NFQ-MGB,24.47554779,24.45062447,0.117935568,43425.25391,44262.5625,3588.115479,TRUE,0.031990853,TRUE,3,22,,Y,N,N
F9,69-1,D,UNKNOWN,FAM,NFQ-MGB,37.07726288,37.28608704,0.698288441,1.810355783,1.684196472,0.676570654,TRUE,0.022887675,TRUE,3,35,,Y,N,N
F10,69-2,C,UNKNOWN,VIC,NFQ-MGB,24.13621521,24.10569572,0.043236259,54690.80859,55853.37891,1654.055664,TRUE,0.031990853,TRUE,3,22,,N,N,N
F10,69-2,D,UNKNOWN,FAM,NFQ-MGB,36.2673111,36.2673111,,3.062846422,3.062846422,,TRUE,0.022887675,TRUE,3,34,,N,N,N
F11,69-3,C,UNKNOWN,VIC,NFQ-MGB,23.36544037,23.42439842,0.104324654,92352.64844,88871.60156,6168.189941,TRUE,0.031990853,TRUE,3,21,,N,N,N
F11,69-3,D,UNKNOWN,FAM,NFQ-MGB,36.82390594,36.82390594,,2.134010077,2.134010077,,TRUE,0.022887675,TRUE,3,35,,N,N,N
F12,57-1,C,UNKNOWN,VIC,NFQ-MGB,24.05748749,23.91404915,0.19781822,57697.23438,63998.78516,8877.041992,TRUE,0.031990853,TRUE,3,22,,N,N,Y
F12,57-1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.56882477,,,,,TRUE,0.022887675,TRUE,3,39,,N,N,Y
G1,52-1,C,UNKNOWN,VIC,NFQ-MGB,24.69780922,24.65351105,0.062645726,37336.19922,38494.9375,1638.703369,TRUE,0.031990853,TRUE,3,22,,N,N,N
G1,52-1,D,UNKNOWN,FAM,NFQ-MGB,25.11607742,25.04851913,0.09554185,4267.287109,4462.899414,276.6375732,TRUE,0.022887675,TRUE,3,23,,N,N,N
G2,52-2,C,UNKNOWN,VIC,NFQ-MGB,24.65789604,24.85736084,0.172750622,38363.00391,33656.45313,4076.145508,TRUE,0.031990853,TRUE,3,22,,N,N,N
G2,52-2,D,UNKNOWN,FAM,NFQ-MGB,25.15723991,25.28305054,0.115476429,4154.763672,3836.137451,290.6504822,TRUE,0.022887675,TRUE,3,23,,N,N,N
G3,52-3,C,UNKNOWN,VIC,NFQ-MGB,24.77150154,24.91046715,0.137218863,35512.06641,32405.04883,3024.65625,TRUE,0.031990853,TRUE,3,22,,N,N,N
G3,52-3,D,UNKNOWN,FAM,NFQ-MGB,25.17012787,25.22079659,0.058701854,4120.146484,3988.74292,151.0221558,TRUE,0.022887675,TRUE,3,23,,N,N,N
G4,72-1,C,UNKNOWN,VIC,NFQ-MGB,24.81659698,24.97612,0.171449304,34440.03906,31040.00586,3571.772461,TRUE,0.031990853,TRUE,3,22,,N,N,N
G4,72-1,D,UNKNOWN,FAM,NFQ-MGB,28.21814537,28.41982269,0.243640706,569.5626831,503.7552795,76.95742798,TRUE,0.022887675,TRUE,3,26,,N,N,N
G5,72-2,C,UNKNOWN,VIC,NFQ-MGB,25.14914703,25.10286713,0.062015001,27472.22656,28367.09375,1207.930786,TRUE,0.031990853,TRUE,3,23,,N,N,N
G5,72-2,D,UNKNOWN,FAM,NFQ-MGB,28.34124756,28.28155518,0.160247684,525.8156738,548.5993042,58.39945984,TRUE,0.022887675,TRUE,3,26,,N,N,N
G6,72-3,C,UNKNOWN,VIC,NFQ-MGB,24.42802238,24.44729042,0.151140004,44850.98438,44422.28516,4513.585938,TRUE,0.031990853,TRUE,3,22,,N,N,N
G6,72-3,D,UNKNOWN,FAM,NFQ-MGB,27.81207466,27.8319931,0.039423857,741.362854,731.9973145,18.59742355,TRUE,0.022887675,TRUE,3,26,,N,N,N
G7,80-1,C,UNKNOWN,VIC,NFQ-MGB,25.14975548,25.14896965,0.021450404,27460.86719,27477.52344,400.7860107,TRUE,0.031990853,TRUE,3,23,,N,N,N
G7,80-1,D,UNKNOWN,FAM,NFQ-MGB,28.95113182,29.01368713,0.082299672,353.8996887,340.1357727,17.93170166,TRUE,0.022887675,TRUE,3,27,,N,N,N
G8,80-2,C,UNKNOWN,VIC,NFQ-MGB,25.07756233,25.16316795,0.150455087,28842.0332,27304.75586,2705.508789,TRUE,0.031990853,TRUE,3,23,,N,N,N
G8,80-2,D,UNKNOWN,FAM,NFQ-MGB,28.72135353,28.88729286,0.383700341,410.83255,376.2079773,86.79428864,TRUE,0.022887675,TRUE,3,27,,N,N,N
G9,57-2,C,UNKNOWN,VIC,NFQ-MGB,22.60572243,23.10788918,0.438361138,154781.9531,113476.9609,35939.30859,TRUE,0.031990853,TRUE,3,20,,N,Y,Y
G9,57-2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
G10,57-2,C,UNKNOWN,VIC,NFQ-MGB,23.41403198,23.10788918,0.438361138,89352.14063,113476.9609,35939.30859,TRUE,0.031990853,TRUE,3,21,,N,Y,Y
G10,57-2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
G11,57-2,C,UNKNOWN,VIC,NFQ-MGB,23.30391502,23.10788918,0.438361138,96296.78906,113476.9609,35939.30859,TRUE,0.031990853,TRUE,3,21,,N,Y,Y
G11,57-2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
G12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.031990853,TRUE,3,39,,N,N,N
G12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.022887675,TRUE,3,39,,N,N,N
H1,52-1,C,UNKNOWN,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,23,,N,N,N
H1,52-1,D,UNKNOWN,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,24,,N,N,N
H2,52-2,C,UNKNOWN,VIC,NFQ-MGB,24.95543861,24.85736084,0.172750622,31338.42383,33656.45313,4076.145508,TRUE,0.031990853,TRUE,3,23,,N,N,N
H2,52-2,D,UNKNOWN,FAM,NFQ-MGB,25.3076992,25.28305054,0.115476429,3768.124023,3836.137451,290.6504822,TRUE,0.022887675,TRUE,3,23,,N,N,N
H3,52-3,C,UNKNOWN,VIC,NFQ-MGB,25.04586983,24.91046715,0.137218863,29470.09961,32405.04883,3024.65625,TRUE,0.031990853,TRUE,3,23,,N,N,N
H3,52-3,D,UNKNOWN,FAM,NFQ-MGB,25.28512383,25.22079659,0.058701854,3823.756104,3988.74292,151.0221558,TRUE,0.022887675,TRUE,3,23,,N,N,N
H4,72-1,C,UNKNOWN,VIC,NFQ-MGB,25.15741539,24.97612,0.171449304,27318.25977,31040.00586,3571.772461,TRUE,0.031990853,TRUE,3,23,,N,N,N
H4,72-1,D,UNKNOWN,FAM,NFQ-MGB,28.69053078,28.41982269,0.243640706,419.1361694,503.7552795,76.95742798,TRUE,0.022887675,TRUE,3,27,,N,N,N
H5,72-2,C,UNKNOWN,VIC,NFQ-MGB,25.1270504,25.10286713,0.062015001,27887.9668,28367.09375,1207.930786,TRUE,0.031990853,TRUE,3,23,,N,N,N
H5,72-2,D,UNKNOWN,FAM,NFQ-MGB,28.40338707,28.28155518,0.160247684,505.0259094,548.5993042,58.39945984,TRUE,0.022887675,TRUE,3,26,,N,N,N
H6,72-3,C,UNKNOWN,VIC,NFQ-MGB,24.60713959,24.44729042,0.151140004,39709.64844,44422.28516,4513.585938,TRUE,0.031990853,TRUE,3,22,,N,N,N
H6,72-3,D,UNKNOWN,FAM,NFQ-MGB,27.87740135,27.8319931,0.039423857,710.5789795,731.9973145,18.59742355,TRUE,0.022887675,TRUE,3,26,,N,N,N
H7,80-1,C,UNKNOWN,VIC,NFQ-MGB,25.17001343,25.14896965,0.021450404,27085.32422,27477.52344,400.7860107,TRUE,0.031990853,TRUE,3,23,,N,N,N
H7,80-1,D,UNKNOWN,FAM,NFQ-MGB,29.10692024,29.01368713,0.082299672,319.8574829,340.1357727,17.93170166,TRUE,0.022887675,TRUE,3,27,,N,N,N
H8,80-2,C,UNKNOWN,VIC,NFQ-MGB,25.33689117,25.16316795,0.150455087,24180.83203,27304.75586,2705.508789,TRUE,0.031990853,TRUE,3,23,,N,N,N
H8,80-2,D,UNKNOWN,FAM,NFQ-MGB,29.32603645,28.88729286,0.383700341,277.4456787,376.2079773,86.79428864,TRUE,0.022887675,TRUE,3,27,,N,N,N
H9,57-3,C,UNKNOWN,VIC,NFQ-MGB,23.65736389,23.65077972,0.035172258,75730.82031,76085,1824.761353,TRUE,0.031990853,TRUE,3,21,,N,Y,Y
H9,57-3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.64883041,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
H10,57-3,C,UNKNOWN,VIC,NFQ-MGB,23.61278152,23.65077972,0.035172258,78060.89063,76085,1824.761353,TRUE,0.031990853,TRUE,3,21,,N,N,N
H10,57-3,D,UNKNOWN,FAM,NFQ-MGB,35.64883041,35.64883041,,4.576171875,4.576171875,,TRUE,0.022887675,TRUE,3,34,,N,N,N
H11,57-3,C,UNKNOWN,VIC,NFQ-MGB,23.68219566,23.65077972,0.035172258,74463.29688,76085,1824.761353,TRUE,0.031990853,TRUE,3,22,,N,N,Y
H11,57-3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.64883041,,,,,TRUE,0.022887675,TRUE,3,39,,N,N,Y
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.031990853,TRUE,3,39,,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.022887675,TRUE,3,39,,N,N,N
