Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150911_KBayRecov_Mcap_copyno_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-11 15:55:13 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,16,,N,N,N
A2,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,15,,N,N,N
A3,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,16,,N,N,N
A4,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,15,,N,N,N
A5,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,14,,N,N,N
A6,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,13,,N,N,N
A7,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,13,,N,N,N
A8,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,14,,N,N,N
A9,80-3,C,UNKNOWN,VIC,NFQ-MGB,25.14972687,24.99275208,0.158693686,27461.40234,30672.32227,3309.457275,TRUE,0.031990853,TRUE,3,23,,N,N,N
A9,80-3,D,UNKNOWN,FAM,NFQ-MGB,28.63511276,28.7229557,0.244846776,434.4901428,413.7825012,63.0955162,TRUE,0.022887675,TRUE,3,27,,N,N,N
A10,58-1,C,UNKNOWN,VIC,NFQ-MGB,27.55318642,27.10402107,0.388989747,5360.611816,7436.433105,1797.734375,TRUE,0.031990853,TRUE,3,25,,N,N,N
A10,58-1,D,UNKNOWN,FAM,NFQ-MGB,24.77176666,24.6805954,0.084636055,5336.15332,5667.197754,309.0491638,TRUE,0.022887675,TRUE,3,23,,N,N,N
A11,58-2,C,UNKNOWN,VIC,NFQ-MGB,27.17352486,27.00746727,0.143878847,6938.915039,7792.378906,739.5355835,TRUE,0.031990853,TRUE,3,25,,N,N,N
A11,58-2,D,UNKNOWN,FAM,NFQ-MGB,24.84879494,24.65582848,0.168829679,5075.871582,5775.908203,613.7237549,TRUE,0.022887675,TRUE,3,23,,N,N,N
A12,58-3,C,UNKNOWN,VIC,NFQ-MGB,,,,,,,TRUE,0.031990853,TRUE,3,27,,N,N,N
A12,58-3,D,UNKNOWN,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,24,,N,N,N
B1,,C,STANDARD,VIC,NFQ-MGB,22.84890366,22.76670837,0.779093385,123456.7891,,,TRUE,0.031990853,TRUE,3,20,,Y,N,N
B2,,C,STANDARD,VIC,NFQ-MGB,23.83834457,22.76670837,0.779093385,123456.7891,,,TRUE,0.031990853,TRUE,3,21,,Y,N,N
B3,,C,STANDARD,VIC,NFQ-MGB,22.18161583,22.76670837,0.779093385,123456.7891,,,TRUE,0.031990853,TRUE,3,19,,Y,N,N
B4,,C,STANDARD,VIC,NFQ-MGB,22.19796753,22.76670837,0.779093385,123456.7891,,,TRUE,0.031990853,TRUE,3,20,,Y,N,N
B5,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,18,,N,N,N
B6,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,19,,N,N,N
B7,,D,STANDARD,FAM,NFQ-MGB,19.88191795,20.23213577,0.495282799,123456.7891,,,TRUE,0.022887675,TRUE,3,18,,N,N,N
B8,,D,STANDARD,FAM,NFQ-MGB,20.58235359,20.23213577,0.495282799,123456.7891,,,TRUE,0.022887675,TRUE,3,19,,N,N,N
B9,80-3,C,UNKNOWN,VIC,NFQ-MGB,24.99613762,24.99275208,0.158693686,30483.34961,30672.32227,3309.457275,TRUE,0.031990853,TRUE,3,23,,N,N,N
B9,80-3,D,UNKNOWN,FAM,NFQ-MGB,28.99960899,28.7229557,0.244846776,342.9353943,413.7825012,63.0955162,TRUE,0.022887675,TRUE,3,27,,N,N,N
B10,58-1,C,UNKNOWN,VIC,NFQ-MGB,26.87796402,27.10402107,0.388989747,8482.853516,7436.433105,1797.734375,TRUE,0.031990853,TRUE,3,24,,N,N,N
B10,58-1,D,UNKNOWN,FAM,NFQ-MGB,24.60452843,24.6805954,0.084636055,5948.125977,5667.197754,309.0491638,TRUE,0.022887675,TRUE,3,23,,N,N,N
B11,58-2,C,UNKNOWN,VIC,NFQ-MGB,26.92886734,27.00746727,0.143878847,8194.362305,7792.378906,739.5355835,TRUE,0.031990853,TRUE,3,24,,N,N,N
B11,58-2,D,UNKNOWN,FAM,NFQ-MGB,24.53533363,24.65582848,0.168829679,6221.416016,5775.908203,613.7237549,TRUE,0.022887675,TRUE,3,23,,N,N,N
B12,58-3,C,UNKNOWN,VIC,NFQ-MGB,28.24986458,28.28369141,0.04783836,3338.511719,3263.487305,106.1007156,TRUE,0.031990853,TRUE,3,26,,N,N,N
B12,58-3,D,UNKNOWN,FAM,NFQ-MGB,25.89189339,25.91285324,0.02964171,2578.783936,2544.167236,48.95540619,TRUE,0.022887675,TRUE,3,24,,N,N,N
C1,,C,STANDARD,VIC,NFQ-MGB,26.96170425,26.51087189,0.577162504,12345.67871,,,TRUE,0.031990853,TRUE,3,25,,Y,N,N
C2,,C,STANDARD,VIC,NFQ-MGB,27.00332451,26.51087189,0.577162504,12345.67871,,,TRUE,0.031990853,TRUE,3,24,,Y,N,N
C3,,C,STANDARD,VIC,NFQ-MGB,25.80610275,26.51087189,0.577162504,12345.67871,,,TRUE,0.031990853,TRUE,3,23,,Y,N,N
C4,,C,STANDARD,VIC,NFQ-MGB,26.27235413,26.51087189,0.577162504,12345.67871,,,TRUE,0.031990853,TRUE,3,24,,Y,N,N
C5,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,22,,N,N,N
C6,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,22,,N,N,N
C7,,D,STANDARD,FAM,NFQ-MGB,22.95197105,23.03617096,0.119075298,12345.67871,,,TRUE,0.022887675,TRUE,3,21,,N,N,N
C8,,D,STANDARD,FAM,NFQ-MGB,23.12036896,23.03617096,0.119075298,12345.67871,,,TRUE,0.022887675,TRUE,3,21,,N,N,N
C9,80-3,C,UNKNOWN,VIC,NFQ-MGB,24.83239365,24.99275208,0.158693686,34072.21875,30672.32227,3309.457275,TRUE,0.031990853,TRUE,3,22,,N,N,N
C9,80-3,D,UNKNOWN,FAM,NFQ-MGB,28.53415298,28.7229557,0.244846776,463.9219971,413.7825012,63.0955162,TRUE,0.022887675,TRUE,3,26,,N,N,N
C10,58-1,C,UNKNOWN,VIC,NFQ-MGB,26.8809185,27.10402107,0.388989747,8465.834961,7436.433105,1797.734375,TRUE,0.031990853,TRUE,3,24,,N,N,N
C10,58-1,D,UNKNOWN,FAM,NFQ-MGB,24.6654911,24.6805954,0.084636055,5717.314453,5667.197754,309.0491638,TRUE,0.022887675,TRUE,3,23,,N,N,N
C11,58-2,C,UNKNOWN,VIC,NFQ-MGB,26.92000771,27.00746727,0.143878847,8243.859375,7792.378906,739.5355835,TRUE,0.031990853,TRUE,3,24,,N,N,N
C11,58-2,D,UNKNOWN,FAM,NFQ-MGB,24.58335876,24.65582848,0.168829679,6030.4375,5775.908203,613.7237549,TRUE,0.022887675,TRUE,3,22,,N,N,N
C12,58-3,C,UNKNOWN,VIC,NFQ-MGB,28.31751823,28.28369141,0.04783836,3188.462646,3263.487305,106.1007156,TRUE,0.031990853,TRUE,3,26,,N,N,N
C12,58-3,D,UNKNOWN,FAM,NFQ-MGB,25.9338131,25.91285324,0.02964171,2509.550537,2544.167236,48.95540619,TRUE,0.022887675,TRUE,3,24,,N,N,N
D1,,C,STANDARD,VIC,NFQ-MGB,29.62691879,29.85827637,0.300366104,1234.567871,,,TRUE,0.031990853,TRUE,3,27,,N,N,N
D2,,C,STANDARD,VIC,NFQ-MGB,30.29968452,29.85827637,0.300366104,1234.567871,,,TRUE,0.031990853,TRUE,3,28,,N,N,N
D3,,C,STANDARD,VIC,NFQ-MGB,29.74252319,29.85827637,0.300366104,1234.567871,,,TRUE,0.031990853,TRUE,3,27,,N,N,N
D4,,C,STANDARD,VIC,NFQ-MGB,29.76397324,29.85827637,0.300366104,1234.567871,,,TRUE,0.031990853,TRUE,3,27,,N,N,N
D5,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,24,,N,N,N
D6,,D,STANDARD,FAM,NFQ-MGB,,,,,,,TRUE,0.022887675,TRUE,3,24,,N,N,N
D7,,D,STANDARD,FAM,NFQ-MGB,26.82041168,27.01504517,0.275253326,1234.567871,,,TRUE,0.022887675,TRUE,3,25,,N,N,N
D8,,D,STANDARD,FAM,NFQ-MGB,27.20967865,27.01504517,0.275253326,1234.567871,,,TRUE,0.022887675,TRUE,3,25,,N,N,N
D9,69-1,C,UNKNOWN,VIC,NFQ-MGB,24.32222176,24.45062447,0.117935568,48195.29688,44262.5625,3588.115479,TRUE,0.031990853,TRUE,3,22,,Y,N,N
D9,69-1,D,UNKNOWN,FAM,NFQ-MGB,36.71603775,37.28608704,0.698288441,2.288807631,1.684196472,0.676570654,TRUE,0.022887675,TRUE,3,35,,Y,N,N
D10,69-2,C,UNKNOWN,VIC,NFQ-MGB,24.0562191,24.10569572,0.043236259,57747,55853.37891,1654.055664,TRUE,0.031990853,TRUE,3,21,,N,Y,Y
D10,69-2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.2673111,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
D11,69-3,C,UNKNOWN,VIC,NFQ-MGB,23.5448513,23.42439842,0.104324654,81749.79688,88871.60156,6168.189941,TRUE,0.031990853,TRUE,3,22,,N,Y,Y
D11,69-3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.82390594,,,,,TRUE,0.022887675,TRUE,3,39,,N,Y,Y
D12,57-1,C,UNKNOWN,VIC,NFQ-MGB,23.99628448,23.91404915,0.19781822,60148.15234,63998.78516,8877.041992,TRUE,0.031990853,TRUE,3,21,,N,N,Y
