Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_fluornorm.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 16:35:49 PM HST,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
A1,,,,,,,,,,,,,,,,,,N
A2,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,15.92638779,15.75762463,0.238667145,1000000,,,FALSE,0.03,TRUE,3,13,,N
A3,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,19.68595886,20.22905922,0.768059909,100000,,,FALSE,0.03,TRUE,3,16,,Y
A4,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,24.29369736,24.04594421,0.350377202,10000,,,FALSE,0.03,TRUE,3,21,,N
A5,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,27.44797516,27.10632706,0.483163387,1000,,,FALSE,0.03,TRUE,3,24,,N
A6,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,31.75580215,31.17285538,0.824412584,100,,,FALSE,0.03,TRUE,3,29,,Y
A7,C128-1,C,STANDARD,VIC,NFQ-MGB,17.97621536,17.97878647,0.003637442,1000000,,,FALSE,0.03,TRUE,3,15,,N
A8,C128-1,C,STANDARD,VIC,NFQ-MGB,22.63588524,21.97064209,0.94079721,100000,,,FALSE,0.03,TRUE,3,20,,Y
A9,C128-1,C,STANDARD,VIC,NFQ-MGB,24.81254005,24.76994324,0.060239647,10000,,,FALSE,0.03,TRUE,3,22,,N
A10,C128-1,C,STANDARD,VIC,NFQ-MGB,28.35726166,28.11723328,0.339450032,1000,,,FALSE,0.03,TRUE,3,26,,N
