Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_fluornorm.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 16:35:49 PM HST,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
A11,C128-1,C,STANDARD,VIC,NFQ-MGB,31.99343109,31.83448029,0.224789038,100,,,FALSE,0.03,TRUE,3,30,,N
A12,,,,,,,,,,,,,,,,,,N
B1,,,,,,,,,,,,,,,,,,N
B2,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,15.58886147,15.75762463,0.238667145,1000000,,,FALSE,0.03,TRUE,3,12,,N
B3,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,20.77215958,20.22905922,0.768059909,100000,,,FALSE,0.03,TRUE,3,17,,Y
B4,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,23.79818916,24.04594421,0.350377202,10000,,,FALSE,0.03,TRUE,3,21,,N
B5,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,26.76467896,27.10632706,0.483163387,1000,,,FALSE,0.03,TRUE,3,24,,N
B6,PaxC1-3,Mcap,STANDARD,FAM,NFQ-MGB,30.58990669,31.17285538,0.824412584,100,,,FALSE,0.03,TRUE,3,28,,Y
B7,C128-1,C,STANDARD,VIC,NFQ-MGB,17.98135948,17.97878647,0.003637442,1000000,,,FALSE,0.03,TRUE,3,15,,N
B8,C128-1,C,STANDARD,VIC,NFQ-MGB,21.30539703,21.97064209,0.94079721,100000,,,FALSE,0.03,TRUE,3,19,,Y
B9,C128-1,C,STANDARD,VIC,NFQ-MGB,24.72734833,24.76994324,0.060239647,10000,,,FALSE,0.03,TRUE,3,22,,N
B10,C128-1,C,STANDARD,VIC,NFQ-MGB,27.8772068,28.11723328,0.339450032,1000,,,FALSE,0.03,TRUE,3,26,,N
B11,C128-1,C,STANDARD,VIC,NFQ-MGB,31.67553139,31.83448029,0.224789038,100,,,FALSE,0.03,TRUE,3,29,,N
B12,D20,D,STANDARD,FAM,NFQ-MGB,15.53257465,15.67932987,0.207543224,1000000,,,FALSE,0.03,TRUE,3,13,,N
C1,D20,D,STANDARD,FAM,NFQ-MGB,26.07797241,26.39100266,0.442692965,1000,,,FALSE,0.03,TRUE,3,24,,N
C2,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,15.8828001,16.06869698,0.262897193,1000000,,,FALSE,0.03,TRUE,3,13,,N
C3,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,21.33216476,20.36174965,1.372374177,100000,,,FALSE,0.03,TRUE,3,19,,Y
C4,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,23.41850853,23.03405571,0.54369837,10000,,,FALSE,0.03,TRUE,3,20,,Y
C5,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,26.33045006,26.19075394,0.197558805,1000,,,FALSE,0.03,TRUE,3,22,,N
C6,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,31.30696106,30.52091599,1.111635566,100,,,FALSE,0.03,TRUE,3,28,,Y
C7,C57-1,C,STANDARD,VIC,NFQ-MGB,17.94299889,17.92069626,0.031539328,1000000,,,FALSE,0.03,TRUE,3,16,,N
C8,C57-1,C,STANDARD,VIC,NFQ-MGB,21.24954414,21.20296478,0.065873161,100000,,,FALSE,0.03,TRUE,3,19,,N
C9,C57-1,C,STANDARD,VIC,NFQ-MGB,24.43104172,24.55352402,0.173216134,10000,,,FALSE,0.03,TRUE,3,22,,N
C10,C57-1,C,STANDARD,VIC,NFQ-MGB,28.08905029,28.01144028,0.10975714,1000,,,FALSE,0.03,TRUE,3,26,,N
C11,C57-1,C,STANDARD,VIC,NFQ-MGB,31.27326393,31.52954102,0.362431884,100,,,FALSE,0.03,TRUE,3,28,,N
C12,D20,D,STANDARD,FAM,NFQ-MGB,15.82608509,15.67932987,0.207543224,1000000,,,FALSE,0.03,TRUE,3,13,,N
D1,D20,D,STANDARD,FAM,NFQ-MGB,26.70403481,26.39100266,0.442692965,1000,,,FALSE,0.03,TRUE,3,24,,N
D2,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,16.2545929,16.06869698,0.262897193,1000000,,,FALSE,0.03,TRUE,3,14,,N
D3,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,19.39133453,20.36174965,1.372374177,100000,,,FALSE,0.03,TRUE,3,16,,Y
D4,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,22.64960289,23.03405571,0.54369837,10000,,,FALSE,0.03,TRUE,3,20,,Y
D5,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,26.05105972,26.19075394,0.197558805,1000,,,FALSE,0.03,TRUE,3,23,,N
D6,PaxC2-1,Mcap,STANDARD,FAM,NFQ-MGB,29.73487091,30.52091599,1.111635566,100,,,FALSE,0.03,TRUE,3,27,,Y
D7,C57-1,C,STANDARD,VIC,NFQ-MGB,17.89839554,17.92069626,0.031539328,1000000,,,FALSE,0.03,TRUE,3,16,,N
D8,C57-1,C,STANDARD,VIC,NFQ-MGB,21.15638542,21.20296478,0.065873161,100000,,,FALSE,0.03,TRUE,3,19,,N
D9,C57-1,C,STANDARD,VIC,NFQ-MGB,24.67600632,24.55352402,0.173216134,10000,,,FALSE,0.03,TRUE,3,22,,N
D10,C57-1,C,STANDARD,VIC,NFQ-MGB,27.93383026,28.01144028,0.10975714,1000,,,FALSE,0.03,TRUE,3,26,,N
D11,C57-1,C,STANDARD,VIC,NFQ-MGB,31.78582001,31.52954102,0.362431884,100,,,FALSE,0.03,TRUE,3,30,,N
D12,D20,D,STANDARD,FAM,NFQ-MGB,18.96246338,19.01240349,0.070625983,100000,,,FALSE,0.03,TRUE,3,17,,N
E1,D20,D,STANDARD,FAM,NFQ-MGB,29.731287,29.91983414,0.266647249,100,,,FALSE,0.03,TRUE,3,27,,N
E2,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,16.7219677,16.58237839,0.197407752,1000000,,,FALSE,0.03,TRUE,3,13,,N
E3,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,20.95244026,20.97640419,0.033890113,100000,,,FALSE,0.03,TRUE,3,17,,N
E4,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,23.51941872,23.86270142,0.485475063,10000,,,FALSE,0.03,TRUE,3,20,,N
E5,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,26.75502586,26.85527992,0.141780645,1000,,,FALSE,0.03,TRUE,3,24,,N
E6,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,30.84082794,31.30910492,0.662243664,100,,,FALSE,0.03,TRUE,3,28,,Y
E7,D126,D,STANDARD,FAM,NFQ-MGB,15.54336739,15.57266235,0.041429341,1000000,,,FALSE,0.03,TRUE,3,13,,N
E8,D126,D,STANDARD,FAM,NFQ-MGB,19.16007614,19.25387764,0.132655352,100000,,,FALSE,0.03,TRUE,3,17,,N
E9,D126,D,STANDARD,FAM,NFQ-MGB,22.44632149,22.68832779,0.34224993,10000,,,FALSE,0.03,TRUE,3,20,,N
E10,D126,D,STANDARD,FAM,NFQ-MGB,26.16083336,26.24866104,0.124205753,1000,,,FALSE,0.03,TRUE,3,24,,N
E11,D126,D,STANDARD,FAM,NFQ-MGB,28.83405495,29.41111374,0.816085696,100,,,FALSE,0.03,TRUE,3,27,,Y
E12,D20,D,STANDARD,FAM,NFQ-MGB,19.0623436,19.01240349,0.070625983,100000,,,FALSE,0.03,TRUE,3,17,,N
F1,D20,D,STANDARD,FAM,NFQ-MGB,30.10838318,29.91983414,0.266647249,100,,,FALSE,0.03,TRUE,3,27,,N
F2,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,16.44279099,16.58237839,0.197407752,1000000,,,FALSE,0.03,TRUE,3,13,,N
F3,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,21.00036812,20.97640419,0.033890113,100000,,,FALSE,0.03,TRUE,3,18,,N
F4,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,24.20598412,23.86270142,0.485475063,10000,,,FALSE,0.03,TRUE,3,21,,N
F5,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,26.95553398,26.85527992,0.141780645,1000,,,FALSE,0.03,TRUE,3,23,,N
F6,PaxC3-1,Mcap,STANDARD,FAM,NFQ-MGB,31.7773819,31.30910492,0.662243664,100,,,FALSE,0.03,TRUE,3,28,,Y
F7,D126,D,STANDARD,FAM,NFQ-MGB,15.60195732,15.57266235,0.041429341,1000000,,,FALSE,0.03,TRUE,3,13,,N
F8,D126,D,STANDARD,FAM,NFQ-MGB,19.34767914,19.25387764,0.132655352,100000,,,FALSE,0.03,TRUE,3,17,,N
F9,D126,D,STANDARD,FAM,NFQ-MGB,22.930336,22.68832779,0.34224993,10000,,,FALSE,0.03,TRUE,3,20,,N
F10,D126,D,STANDARD,FAM,NFQ-MGB,26.33648682,26.24866104,0.124205753,1000,,,FALSE,0.03,TRUE,3,24,,N
F11,D126,D,STANDARD,FAM,NFQ-MGB,29.98817444,29.41111374,0.816085696,100,,,FALSE,0.03,TRUE,3,27,,Y
F12,D20,D,STANDARD,FAM,NFQ-MGB,22.63487625,22.61176872,0.03267898,10000,,,FALSE,0.03,TRUE,3,20,,N
G1,,,,,,,,,,,,,,,,,,N
G2,C11-1,C,STANDARD,VIC,NFQ-MGB,17.98200035,18.15455627,0.244030923,1000000,,,FALSE,0.03,TRUE,3,15,,N
G3,C11-1,C,STANDARD,VIC,NFQ-MGB,22.9871521,23.08073235,0.132342458,100000,,,FALSE,0.03,TRUE,3,21,,N
G4,C11-1,C,STANDARD,VIC,NFQ-MGB,25.17802048,25.29864502,0.170590207,10000,,,FALSE,0.03,TRUE,3,23,,N
G5,C11-1,C,STANDARD,VIC,NFQ-MGB,28.80682755,28.68539429,0.17173256,1000,,,FALSE,0.03,TRUE,3,26,,N
G6,C11-1,C,STANDARD,VIC,NFQ-MGB,,,,,,,FALSE,0.03,TRUE,3,26,,N
G7,D6,D,STANDARD,FAM,NFQ-MGB,16.19963074,16.54072952,0.482385188,1000000,,,FALSE,0.03,TRUE,3,14,,N
G8,D6,D,STANDARD,FAM,NFQ-MGB,18.73671341,18.88958931,0.216199175,100000,,,FALSE,0.03,TRUE,3,16,,N
G9,D6,D,STANDARD,FAM,NFQ-MGB,22.67215157,22.83006287,0.223318949,10000,,,FALSE,0.03,TRUE,3,20,,N
G10,D6,D,STANDARD,FAM,NFQ-MGB,26.29219627,26.3027916,0.014985397,1000,,,FALSE,0.03,TRUE,3,24,,N
G11,D6,D,STANDARD,FAM,NFQ-MGB,30.14246178,29.9994812,0.202205062,100,,,FALSE,0.03,TRUE,3,28,,N
G12,D20,D,STANDARD,FAM,NFQ-MGB,22.58866119,22.61176872,0.03267898,10000,,,FALSE,0.03,TRUE,3,20,,N
H1,,,,,,,,,,,,,,,,,,N
H2,C11-1,C,STANDARD,VIC,NFQ-MGB,18.3271122,18.15455627,0.244030923,1000000,,,FALSE,0.03,TRUE,3,16,,N
H3,C11-1,C,STANDARD,VIC,NFQ-MGB,23.17431259,23.08073235,0.132342458,100000,,,FALSE,0.03,TRUE,3,20,,N
H4,C11-1,C,STANDARD,VIC,NFQ-MGB,25.41927147,25.29864502,0.170590207,10000,,,FALSE,0.03,TRUE,3,23,,N
H5,C11-1,C,STANDARD,VIC,NFQ-MGB,28.56396103,28.68539429,0.17173256,1000,,,FALSE,0.03,TRUE,3,26,,N
H6,C11-1,C,STANDARD,VIC,NFQ-MGB,32.52367401,32.52367401,,100,,,FALSE,0.03,TRUE,3,30,,N
H7,D6,D,STANDARD,FAM,NFQ-MGB,16.8818264,16.54072952,0.482385188,1000000,,,FALSE,0.03,TRUE,3,14,,N
H8,D6,D,STANDARD,FAM,NFQ-MGB,19.04246521,18.88958931,0.216199175,100000,,,FALSE,0.03,TRUE,3,17,,N
H9,D6,D,STANDARD,FAM,NFQ-MGB,22.98797226,22.83006287,0.223318949,10000,,,FALSE,0.03,TRUE,3,20,,N
H10,D6,D,STANDARD,FAM,NFQ-MGB,26.31338882,26.3027916,0.014985397,1000,,,FALSE,0.03,TRUE,3,24,,N
H11,D6,D,STANDARD,FAM,NFQ-MGB,29.85650063,29.9994812,0.202205062,100,,,FALSE,0.03,TRUE,3,27,,N
H12,,,,,,,,,,,,,,,,,,N
