Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150911_KBayRecov_Mcap_copyno_2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-11 18:06:32 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,C,STANDARD,VIC,NFQ-MGB,,,,,,,TRUE,0.022393181,TRUE,3,24,,N,N,N
A2,,C,STANDARD,VIC,NFQ-MGB,22.74841309,21.99868202,0.758503258,200000,,,TRUE,0.022393181,TRUE,3,20,,Y,N,N
A3,,C,STANDARD,VIC,NFQ-MGB,22.0159359,21.99868202,0.758503258,200000,,,TRUE,0.022393181,TRUE,3,20,,Y,N,N
A4,,C,STANDARD,VIC,NFQ-MGB,21.2317009,21.99868202,0.758503258,200000,,,TRUE,0.022393181,TRUE,3,19,,Y,N,N
A5,,D,STANDARD,FAM,NFQ-MGB,21.3019352,19.44642639,1.341768265,200000,,,TRUE,0.025789756,TRUE,3,19,,Y,N,N
A6,,D,STANDARD,FAM,NFQ-MGB,19.55911827,19.44642639,1.341768265,200000,,,TRUE,0.025789756,TRUE,3,17,,Y,N,N
A7,,D,STANDARD,FAM,NFQ-MGB,18.39709473,19.44642639,1.341768265,200000,,,TRUE,0.025789756,TRUE,3,16,,Y,N,N
A8,,D,STANDARD,FAM,NFQ-MGB,18.52755928,19.44642639,1.341768265,200000,,,TRUE,0.025789756,TRUE,3,16,,Y,N,N
A9,80-3,C,UNKNOWN,VIC,NFQ-MGB,24.03466606,23.8327713,0.190087065,56171.42188,64941.37891,8390.712891,TRUE,0.022393181,TRUE,3,23,,N,N,N
A9,80-3,D,UNKNOWN,FAM,NFQ-MGB,28.37301826,28.28053093,0.238275155,546.5985107,586.8010864,97.34893036,TRUE,0.025789756,TRUE,3,26,,N,N,N
A10,58-1,C,UNKNOWN,VIC,NFQ-MGB,25.98815346,25.94404793,0.053175166,14580.15332,15037.76074,555.9177246,TRUE,0.022393181,TRUE,3,24,,N,N,N
A10,58-1,D,UNKNOWN,FAM,NFQ-MGB,24.42259026,24.26493835,0.137329936,7790.220703,8685.833008,780.9338989,TRUE,0.025789756,TRUE,3,22,,N,N,N
A11,58-2,C,UNKNOWN,VIC,NFQ-MGB,25.79029846,25.05449677,1.000705361,16714.32813,32915.22266,24425.44727,TRUE,0.022393181,TRUE,3,24,,Y,N,N
A11,58-2,D,UNKNOWN,FAM,NFQ-MGB,24.28808212,23.52088356,1.10618031,8527.824219,17416.28516,13971.27148,TRUE,0.025789756,TRUE,3,22,,Y,N,N
A12,58-3,C,UNKNOWN,VIC,NFQ-MGB,,,,,,,TRUE,0.022393181,TRUE,3,28,,N,N,N
A12,58-3,D,UNKNOWN,FAM,NFQ-MGB,,,,,,,TRUE,0.025789756,TRUE,3,26,,N,N,N
B1,,C,STANDARD,VIC,NFQ-MGB,26.62989616,25.4263382,1.002608895,20000,,,TRUE,0.022393181,TRUE,3,24,,Y,N,N
B2,,C,STANDARD,VIC,NFQ-MGB,25.23753738,25.4263382,1.002608895,20000,,,TRUE,0.022393181,TRUE,3,24,,Y,N,N
B3,,C,STANDARD,VIC,NFQ-MGB,25.63191795,25.4263382,1.002608895,20000,,,TRUE,0.022393181,TRUE,3,23,,Y,N,N
B4,,C,STANDARD,VIC,NFQ-MGB,24.2060051,25.4263382,1.002608895,20000,,,TRUE,0.022393181,TRUE,3,22,,Y,N,N
