Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_copynumber.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 18:27:54 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
E7,#19_N08,D,UNKNOWN,FAM,NFQ-MGB,29.07030869,28.96781349,0.112278886,376.9204102,402.9381409,28.92643547,TRUE,0.047459443,TRUE,3,26,,Y,N,N,N
E8,#19_N08,C,UNKNOWN,VIC,NFQ-MGB,38.7845459,36.61412048,1.953686714,0.36981234,2.63570714,2.371001244,TRUE,0.014270259,TRUE,3,35,,Y,N,N,N
E8,#19_N08,D,UNKNOWN,FAM,NFQ-MGB,28.98532677,28.96781349,0.112278886,397.8074341,402.9381409,28.92643547,TRUE,0.047459443,TRUE,3,26,,Y,N,N,N
E9,#19_N08,C,UNKNOWN,VIC,NFQ-MGB,34.99614716,36.61412048,1.953686714,5.099420071,2.63570714,2.371001244,TRUE,0.014270259,TRUE,3,33,,Y,N,N,N
E9,#19_N08,D,UNKNOWN,FAM,NFQ-MGB,28.84780884,28.96781349,0.112278886,434.0866699,402.9381409,28.92643547,TRUE,0.047459443,TRUE,3,26,,Y,N,N,N
E10,#20_O03,C,UNKNOWN,VIC,NFQ-MGB,36.21496201,35.43196106,0.742965102,2.1923244,4.100797176,1.956819057,TRUE,0.014270259,TRUE,3,34,,Y,N,N,N
E10,#20_O03,D,UNKNOWN,FAM,NFQ-MGB,27.22268867,27.19046974,0.028135857,1217.59375,1242.878418,22.08644867,TRUE,0.047459443,TRUE,3,24,,Y,N,N,N
E11,#20_O03,C,UNKNOWN,VIC,NFQ-MGB,35.34406662,35.43196106,0.742965102,4.007445335,4.100797176,1.956819057,TRUE,0.014270259,TRUE,3,33,,Y,N,N,N
E11,#20_O03,D,UNKNOWN,FAM,NFQ-MGB,27.17074013,27.19046974,0.028135857,1258.406128,1242.878418,22.08644867,TRUE,0.047459443,TRUE,3,24,,Y,N,N,N
E12,#20_O03,C,UNKNOWN,VIC,NFQ-MGB,34.73685074,35.43196106,0.742965102,6.102621078,4.100797176,1.956819057,TRUE,0.014270259,TRUE,3,33,,Y,N,N,N
E12,#20_O03,D,UNKNOWN,FAM,NFQ-MGB,27.17798233,27.19046974,0.028135857,1252.635376,1242.878418,22.08644867,TRUE,0.047459443,TRUE,3,24,,Y,N,N,N
F1,,D,STANDARD,FAM,NFQ-MGB,36.62043381,34.82978821,1.550810099,10,,,TRUE,0.047459443,TRUE,3,34,,Y,N,Y,N
F2,,D,STANDARD,FAM,NFQ-MGB,33.94884109,34.82978821,1.550810099,10,,,TRUE,0.047459443,TRUE,3,31,,Y,N,N,N
F3,,D,STANDARD,FAM,NFQ-MGB,33.92009354,34.82978821,1.550810099,10,,,TRUE,0.047459443,TRUE,3,31,,Y,N,N,N
F4,,C,STANDARD,VIC,NFQ-MGB,34.2784996,34.27606201,0.176293626,10,,,TRUE,0.014270259,TRUE,3,33,,N,N,N,N
F5,,C,STANDARD,VIC,NFQ-MGB,34.09856033,34.27606201,0.176293626,10,,,TRUE,0.014270259,TRUE,3,33,,N,N,N,N
F6,,C,STANDARD,VIC,NFQ-MGB,34.45112228,34.27606201,0.176293626,10,,,TRUE,0.014270259,TRUE,3,33,,N,N,N,N
F7,#42_N07,C,UNKNOWN,VIC,NFQ-MGB,27.26890373,27.31733704,0.056792766,1076.101685,1041.136841,40.66374207,TRUE,0.014270259,TRUE,3,26,,Y,N,N,N
F7,#42_N07,D,UNKNOWN,FAM,NFQ-MGB,35.75621414,34.8939209,0.807241857,5.412997723,10.16075134,4.765126228,TRUE,0.047459443,TRUE,3,33,,Y,N,N,N
F8,#42_N07,C,UNKNOWN,VIC,NFQ-MGB,27.30326271,27.31733704,0.056792766,1050.795532,1041.136841,40.66374207,TRUE,0.014270259,TRUE,3,26,,Y,N,N,N
F8,#42_N07,D,UNKNOWN,FAM,NFQ-MGB,34.15621567,34.8939209,0.807241857,14.94306183,10.16075134,4.765126228,TRUE,0.047459443,TRUE,3,31,,Y,N,N,N
F9,#42_N07,C,UNKNOWN,VIC,NFQ-MGB,27.37984276,27.31733704,0.056792766,996.5134277,1041.136841,40.66374207,TRUE,0.014270259,TRUE,3,26,,Y,N,N,N
F9,#42_N07,D,UNKNOWN,FAM,NFQ-MGB,34.76934052,34.8939209,0.807241857,10.126194,10.16075134,4.765126228,TRUE,0.047459443,TRUE,3,32,,Y,N,N,N
F10,#12_O08,C,UNKNOWN,VIC,NFQ-MGB,31.28817749,31.41245079,0.224186495,66.50699615,61.49880981,9.088184357,TRUE,0.014270259,TRUE,3,30,,N,Y,N,Y
F10,#12_O08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.02700424,,,,,TRUE,0.047459443,TRUE,3,39,,N,Y,N,Y
F11,#12_O08,C,UNKNOWN,VIC,NFQ-MGB,31.27791977,31.41245079,0.224186495,66.98118591,61.49880981,9.088184357,TRUE,0.014270259,TRUE,3,30,,N,Y,N,Y
F11,#12_O08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.02700424,,,,,TRUE,0.047459443,TRUE,3,39,,N,Y,N,Y
F12,#12_O08,C,UNKNOWN,VIC,NFQ-MGB,31.67124939,31.41245079,0.224186495,51.00825119,61.49880981,9.088184357,TRUE,0.014270259,TRUE,3,30,,N,N,N,N
F12,#12_O08,D,UNKNOWN,FAM,NFQ-MGB,37.02700424,37.02700424,,2.416432142,2.416432142,,TRUE,0.047459443,TRUE,3,34,,N,N,N,N
G1,#09_O41,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
G1,#09_O41,D,UNKNOWN,FAM,NFQ-MGB,28.54908752,28.37002563,0.169489577,524.7010498,590.1043701,62.75590897,TRUE,0.047459443,TRUE,3,26,,N,N,N,Y
G2,#09_O41,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
G2,#09_O41,D,UNKNOWN,FAM,NFQ-MGB,28.34889603,28.37002563,0.169489577,595.7855835,590.1043701,62.75590897,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
G3,#09_O41,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
G3,#09_O41,D,UNKNOWN,FAM,NFQ-MGB,28.21208954,28.37002563,0.169489577,649.8265381,590.1043701,62.75590897,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
G4,#21_O34,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
G4,#21_O34,D,UNKNOWN,FAM,NFQ-MGB,27.58390617,27.67071533,0.089082681,968.1470947,917.2265625,51.72819138,TRUE,0.047459443,TRUE,3,24,,N,N,N,Y
G5,#21_O34,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
G5,#21_O34,D,UNKNOWN,FAM,NFQ-MGB,27.76190948,27.67071533,0.089082681,864.7268677,917.2265625,51.72819138,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
G6,#21_O34,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
G6,#21_O34,D,UNKNOWN,FAM,NFQ-MGB,27.66632843,27.67071533,0.089082681,918.805542,917.2265625,51.72819138,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
G7,#23_O42,C,UNKNOWN,VIC,NFQ-MGB,32.84735489,32.97694778,0.640318096,22.58766174,21.9654026,8.912825584,TRUE,0.014270259,TRUE,3,32,,Y,Y,N,Y
G7,#23_O42,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.45944977,,,,,TRUE,0.047459443,TRUE,3,39,,Y,Y,N,Y
G8,#23_O42,C,UNKNOWN,VIC,NFQ-MGB,32.41134262,32.97694778,0.640318096,30.5507946,21.9654026,8.912825584,TRUE,0.014270259,TRUE,3,31,,Y,Y,N,Y
G8,#23_O42,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.45944977,,,,,TRUE,0.047459443,TRUE,3,39,,Y,Y,N,Y
G9,#23_O42,C,UNKNOWN,VIC,NFQ-MGB,33.67215347,32.97694778,0.640318096,12.75775528,21.9654026,8.912825584,TRUE,0.014270259,TRUE,3,33,,Y,N,N,N
G9,#23_O42,D,UNKNOWN,FAM,NFQ-MGB,34.45944977,34.45944977,,12.32708263,12.32708263,,TRUE,0.047459443,TRUE,3,32,,Y,N,N,N
G10,#04_O26,C,UNKNOWN,VIC,NFQ-MGB,30.41750336,30.20445824,0.197699159,121.5524216,141.7506561,19.01775742,TRUE,0.014270259,TRUE,3,29,,N,N,N,N
G10,#04_O26,D,UNKNOWN,FAM,NFQ-MGB,28.2530899,28.24562836,0.248674437,633.135498,641.4459839,101.2749405,TRUE,0.047459443,TRUE,3,25,,N,N,N,N
G11,#04_O26,C,UNKNOWN,VIC,NFQ-MGB,30.0269165,30.20445824,0.197699159,159.3129272,141.7506561,19.01775742,TRUE,0.014270259,TRUE,3,28,,N,N,N,N
G11,#04_O26,D,UNKNOWN,FAM,NFQ-MGB,27.99330711,28.24562836,0.248674437,746.6200562,641.4459839,101.2749405,TRUE,0.047459443,TRUE,3,25,,N,N,N,N
G12,#04_O26,C,UNKNOWN,VIC,NFQ-MGB,30.16895294,30.20445824,0.197699159,144.3865967,141.7506561,19.01775742,TRUE,0.014270259,TRUE,3,29,,N,N,N,N
G12,#04_O26,D,UNKNOWN,FAM,NFQ-MGB,28.49048805,28.24562836,0.248674437,544.5822754,641.4459839,101.2749405,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N,N
H2,#48_O07,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
H2,#48_O07,D,UNKNOWN,FAM,NFQ-MGB,27.82807922,27.79002762,0.053813096,829.1647339,849.6801758,29.01317215,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
H3,#48_O07,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
H3,#48_O07,D,UNKNOWN,FAM,NFQ-MGB,27.75197601,27.79002762,0.053813096,870.1955566,849.6801758,29.01317215,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
H4,#35_O37,C,UNKNOWN,VIC,NFQ-MGB,32.04995346,31.78690147,0.389013112,39.23984909,48.28463745,13.7931757,TRUE,0.014270259,TRUE,3,31,,N,N,N,N
H4,#35_O37,D,UNKNOWN,FAM,NFQ-MGB,28.69605446,29.019907,0.283235669,477.9736633,393.5073547,73.67819214,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
H5,#35_O37,C,UNKNOWN,VIC,NFQ-MGB,31.97070694,31.78690147,0.389013112,41.45381165,48.28463745,13.7931757,TRUE,0.014270259,TRUE,3,31,,N,N,N,N
H5,#35_O37,D,UNKNOWN,FAM,NFQ-MGB,29.14232445,29.019907,0.283235669,360.0809937,393.5073547,73.67819214,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
H6,#35_O37,C,UNKNOWN,VIC,NFQ-MGB,31.34004402,31.78690147,0.389013112,64.1602478,48.28463745,13.7931757,TRUE,0.014270259,TRUE,3,30,,N,N,N,N
H6,#35_O37,D,UNKNOWN,FAM,NFQ-MGB,29.22134781,29.019907,0.283235669,342.4674377,393.5073547,73.67819214,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
