Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_copynumber.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 18:27:54 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
A2,,D,STANDARD,FAM,NFQ-MGB,16.4556694,16.72692299,0.383610487,1000000,,,TRUE,0.047459443,TRUE,3,13,,N,N,N,N
A3,,D,STANDARD,FAM,NFQ-MGB,16.99817657,16.72692299,0.383610487,1000000,,,TRUE,0.047459443,TRUE,3,14,,N,N,N,N
A4,,C,STANDARD,VIC,NFQ-MGB,17.7618618,17.71770287,0.043293059,1000000,,,TRUE,0.014270259,TRUE,3,16,,N,N,N,N
A5,,C,STANDARD,VIC,NFQ-MGB,17.71591377,17.71770287,0.043293059,1000000,,,TRUE,0.014270259,TRUE,3,16,,N,N,N,N
A6,,C,STANDARD,VIC,NFQ-MGB,17.67533112,17.71770287,0.043293059,1000000,,,TRUE,0.014270259,TRUE,3,16,,N,N,N,N
A7,#03_N39,C,UNKNOWN,VIC,NFQ-MGB,33.7888298,33.59611893,0.421058863,11.76734161,13.85179901,4.293124676,TRUE,0.014270259,TRUE,3,33,,N,N,N,N
A7,#03_N39,D,UNKNOWN,FAM,NFQ-MGB,29.20742416,29.0478611,0.14223741,345.5071106,383.3542175,33.88716888,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
A8,#03_N39,C,UNKNOWN,VIC,NFQ-MGB,33.11319351,33.59611893,0.421058863,18.78917885,13.85179901,4.293124676,TRUE,0.014270259,TRUE,3,31,,N,N,N,N
A8,#03_N39,D,UNKNOWN,FAM,NFQ-MGB,28.93437195,29.0478611,0.14223741,410.8822632,383.3542175,33.88716888,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
A9,#03_N39,C,UNKNOWN,VIC,NFQ-MGB,33.88633728,33.59611893,0.421058863,10.99887848,13.85179901,4.293124676,TRUE,0.014270259,TRUE,3,33,,N,N,N,N
A9,#03_N39,D,UNKNOWN,FAM,NFQ-MGB,29.00178719,29.0478611,0.14223741,393.6733093,383.3542175,33.88716888,TRUE,0.047459443,TRUE,3,26,,N,N,N,N
A10,#49_O25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.5978508,,,,,TRUE,0.014270259,TRUE,3,35,,N,N,N,Y
A10,#49_O25,D,UNKNOWN,FAM,NFQ-MGB,28.48995399,28.57543945,0.120896041,544.7668457,516.7580566,39.61045074,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
A11,#49_O25,C,UNKNOWN,VIC,NFQ-MGB,37.5978508,37.5978508,,0.841270864,0.841270864,,TRUE,0.014270259,TRUE,3,35,,N,N,N,N
A11,#49_O25,D,UNKNOWN,FAM,NFQ-MGB,28.66092682,28.57543945,0.120896041,488.7492065,516.7580566,39.61045074,TRUE,0.047459443,TRUE,3,25,,N,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N,N
B1,,D,STANDARD,FAM,NFQ-MGB,20.41119766,20.31639862,0.291607291,100000,,,TRUE,0.047459443,TRUE,3,17,,N,N,N,N
B2,,D,STANDARD,FAM,NFQ-MGB,20.54881096,20.31639862,0.291607291,100000,,,TRUE,0.047459443,TRUE,3,17,,N,N,N,N
B3,,D,STANDARD,FAM,NFQ-MGB,19.98918724,20.31639862,0.291607291,100000,,,TRUE,0.047459443,TRUE,3,17,,N,N,N,N
B4,,C,STANDARD,VIC,NFQ-MGB,20.28280449,20.38987732,0.108371407,100000,,,TRUE,0.014270259,TRUE,3,18,,N,N,N,N
B5,,C,STANDARD,VIC,NFQ-MGB,20.38732338,20.38987732,0.108371407,100000,,,TRUE,0.014270259,TRUE,3,19,,N,N,N,N
