Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150910_KBayRecov_Mcap_IntraColVar_2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-10 12:34:18 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,,,,,,,,,,,,,,,,,,N,N
A3,,,,,,,,,,,,,,,,,,N,N
A4,,,,,,,,,,,,,,,,,,N,N
A5,721,Mcap,UNKNOWN,FAM,NFQ-MGB,21.24818039,21.10095596,0.208206788,,,,FALSE,0.01,FALSE,3,18,,N,N
A6,721,Mcap,UNKNOWN,FAM,NFQ-MGB,20.95373154,21.10095596,0.208206788,,,,FALSE,0.01,FALSE,3,18,,N,N
A7,721,C,UNKNOWN,VIC,NFQ-MGB,24.28388214,24.26977348,0.019952655,,,,FALSE,0.01,FALSE,3,18,,N,N
A7,721,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,N
A8,721,C,UNKNOWN,VIC,NFQ-MGB,24.25566483,24.26977348,0.019952655,,,,FALSE,0.01,FALSE,3,18,,N,N
A8,721,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,N
A9,,,,,,,,,,,,,,,,,,N,N
A10,,,,,,,,,,,,,,,,,,N,N
A11,,,,,,,,,,,,,,,,,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,712,Mcap,UNKNOWN,FAM,NFQ-MGB,22.92606926,22.68782425,0.336930662,,,,FALSE,0.01,FALSE,3,18,,N,N
B2,712,Mcap,UNKNOWN,FAM,NFQ-MGB,22.44957733,22.68782425,0.336930662,,,,FALSE,0.01,FALSE,3,18,,N,N
B3,712,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,N
B3,712,D,UNKNOWN,FAM,NFQ-MGB,26.19460678,26.48378754,0.408964694,,,,FALSE,0.01,FALSE,3,18,,N,N
B4,712,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,N
B4,712,D,UNKNOWN,FAM,NFQ-MGB,26.7729702,26.48378754,0.408964694,,,,FALSE,0.01,FALSE,3,18,,N,N
B5,720,Mcap,UNKNOWN,FAM,NFQ-MGB,20.50223351,20.3871994,0.162682787,,,,FALSE,0.01,FALSE,3,18,,N,N
B6,720,Mcap,UNKNOWN,FAM,NFQ-MGB,20.2721653,20.3871994,0.162682787,,,,FALSE,0.01,FALSE,3,18,,N,N
B7,720,C,UNKNOWN,VIC,NFQ-MGB,23.96566772,24.22444153,0.365961432,,,,FALSE,0.01,FALSE,3,18,,N,Y
B7,720,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,Y
B8,720,C,UNKNOWN,VIC,NFQ-MGB,24.48321533,24.22444153,0.365961432,,,,FALSE,0.01,FALSE,3,18,,N,Y
B8,720,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,Y
B9,727,Mcap,UNKNOWN,FAM,NFQ-MGB,19.75157166,19.76896667,0.024600273,,,,FALSE,0.01,FALSE,3,18,,N,N
B10,727,Mcap,UNKNOWN,FAM,NFQ-MGB,19.78636169,19.76896667,0.024600273,,,,FALSE,0.01,FALSE,3,18,,N,N
B11,727,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,18,,N,N
