,date,vis,reef,sym
3K,20141024,bleached,HIMB,C
11K,20141024,bleached,HIMB,C
66K,20150114,not bleached,25,C
110K,20141024,not bleached,44,C
127K,20141024,bleached,44,C
128K,20141024,not bleached,44,C
6K,20150115,not bleached,HIMB,D
20K,20150115,not bleached,HIMB,D
58K, 20141024,not bleached,25,D
