date,time,raw,PAR_µmol_m2_s
2014-12-17, 15:30:00,3375,207.0654541
2014-12-17, 15:45:00,5022,299.3383409
2014-12-17, 16:00:00,2354,148.2571013
2014-12-17, 16:15:00,2435,152.9818351
2014-12-17, 16:30:00,1869,119.7023511
2014-12-17, 16:45:00,1476,96.16856924
2014-12-17, 17:00:00,1051,70.18940714
2014-12-17, 17:15:00,645,44.63176882
2014-12-17, 17:30:00,505,35.57144195
2014-12-17, 17:45:00,304,22.21815794
2014-12-17, 18:00:00,88,7.038144149
2014-12-17, 18:15:00,7,0.672974778
2014-12-17, 18:30:00,0,0
2014-12-17, 18:45:00,0,0
2014-12-17, 19:00:00,0,0
2014-12-17, 19:15:00,0,0
2014-12-17, 19:30:00,0,0
2014-12-17, 19:45:00,0,0
2014-12-17, 20:00:00,0,0
2014-12-17, 20:15:00,0,0
2014-12-17, 20:30:00,0,0
2014-12-17, 20:45:00,0,0
2014-12-17, 21:00:00,0,0
2014-12-17, 21:15:00,0,0
2014-12-17, 21:30:00,0,0
2014-12-17, 21:45:00,0,0
2014-12-17, 22:00:00,0,0
2014-12-17, 22:15:00,0,0
2014-12-17, 22:30:00,0,0
2014-12-17, 22:45:00,0,0
2014-12-17, 23:00:00,0,0
2014-12-17, 23:15:00,0,0
2014-12-17, 23:30:00,0,0
2014-12-17, 23:45:00,0,0
2014-12-17, 24:00:00,0,0
2014-12-18, 00:15:00,0,0
2014-12-18, 00:30:00,0,0
2014-12-18, 00:45:00,0,0
2014-12-18, 01:00:00,0,0
2014-12-18, 01:15:00,0,0
2014-12-18, 01:30:00,0,0
2014-12-18, 01:45:00,0,0
2014-12-18, 02:00:00,0,0
2014-12-18, 02:15:00,0,0
2014-12-18, 02:30:00,0,0
2014-12-18, 02:45:00,0,0
2014-12-18, 03:00:00,0,0
2014-12-18, 03:15:00,0,0
2014-12-18, 03:30:00,0,0
2014-12-18, 03:45:00,0,0
2014-12-18, 04:00:00,0,0
2014-12-18, 04:15:00,0,0
2014-12-18, 04:30:00,0,0
2014-12-18, 04:45:00,0,0
2014-12-18, 05:00:00,0,0
2014-12-18, 05:15:00,0,0
2014-12-18, 05:30:00,0,0
2014-12-18, 05:45:00,0,0
2014-12-18, 06:00:00,0,0
2014-12-18, 06:15:00,0,0
2014-12-18, 06:30:00,0,0
2014-12-18, 06:45:00,0,0
2014-12-18, 07:00:00,22,1.946112434
2014-12-18, 07:15:00,139,10.7536773
