date,time,raw,PAR_µmol_m2_s
2015-04-15, 13:00:00,11236,718.4061379
2015-04-15, 13:15:00,10964,703.3569813
2015-04-15, 13:30:00,10582,682.1354902
2015-04-15, 13:45:00,8467,562.6160624
2015-04-15, 14:00:00,4177,305.5704687
2015-04-15, 14:15:00,3177,241.2343966
2015-04-15, 14:30:00,5962,415.5350716
2015-04-15, 14:45:00,4351,316.5364076
2015-04-15, 15:00:00,4758,341.9586012
2015-04-15, 15:15:00,6723,460.9760179
2015-04-15, 15:30:00,6991,476.8085817
2015-04-15, 15:45:00,3964,292.0614364
2015-04-15, 16:00:00,1443,121.9935147
2015-04-15, 16:15:00,4721,339.6601
2015-04-15, 16:30:00,3507,262.7341758
2015-04-15, 16:45:00,4301,313.3914917
2015-04-15, 17:00:00,2115,169.7392154
2015-04-15, 17:15:00,1071,94.29348432
2015-04-15, 17:30:00,852,77.38438333
2015-04-15, 17:45:00,1089,95.66100639
2015-04-15, 18:00:00,432,43.03689881
2015-04-15, 18:15:00,384,38.87320109
2015-04-15, 18:30:00,248,26.64485537
2015-04-15, 18:45:00,100,12.15756388
2015-04-15, 19:00:00,26,3.797012575
2015-04-15, 19:15:00,1,0.227534135
2015-04-15, 19:30:00,0,0
2015-04-15, 19:45:00,0,0
2015-04-15, 20:00:00,0,0
2015-04-15, 20:15:00,0,0
2015-04-15, 20:30:00,0,0
2015-04-15, 20:45:00,0,0
2015-04-15, 21:00:00,0,0
2015-04-15, 21:15:00,0,0
2015-04-15, 21:30:00,0,0
2015-04-15, 21:45:00,0,0
2015-04-15, 22:00:00,0,0
2015-04-15, 22:15:00,0,0
2015-04-15, 22:30:00,0,0
2015-04-15, 22:45:00,0,0
2015-04-15, 23:00:00,0,0
2015-04-15, 23:15:00,0,0
2015-04-15, 23:30:00,0,0
2015-04-15, 23:45:00,0,0
2015-04-15, 24:00:00,0,0
2015-04-16, 00:15:00,0,0
2015-04-16, 00:30:00,0,0
2015-04-16, 00:45:00,0,0
2015-04-16, 01:00:00,0,0
2015-04-16, 01:15:00,0,0
2015-04-16, 01:30:00,0,0
2015-04-16, 01:45:00,0,0
2015-04-16, 02:00:00,0,0
2015-04-16, 02:15:00,0,0
2015-04-16, 02:30:00,0,0
2015-04-16, 02:45:00,0,0
2015-04-16, 03:00:00,0,0
2015-04-16, 03:15:00,0,0
2015-04-16, 03:30:00,0,0
2015-04-16, 03:45:00,0,0
2015-04-16, 04:00:00,0,0
2015-04-16, 04:15:00,0,0
2015-04-16, 04:30:00,0,0
2015-04-16, 04:45:00,0,0
2015-04-16, 05:00:00,0,0
2015-04-16, 05:15:00,0,0
2015-04-16, 05:30:00,0,0
2015-04-16, 05:45:00,0,0
2015-04-16, 06:00:00,0,0
2015-04-16, 06:15:00,22,3.28674124
2015-04-16, 06:30:00,116,13.82075655
2015-04-16, 06:45:00,260,27.75505137
2015-04-16, 07:00:00,435,43.29496863
2015-04-16, 07:15:00,555,53.43690154
2015-04-16, 07:30:00,702,65.46319404
2015-04-16, 07:45:00,851,77.30591184
2015-04-16, 08:00:00,1317,112.7344658
2015-04-16, 08:15:00,1622,134.9613735
2015-04-16, 08:30:00,1139,99.44372993
2015-04-16, 08:45:00,1293,110.9574649
2015-04-16, 09:00:00,1651,137.0434416
2015-04-16, 09:15:00,2297,182.2860961
2015-04-16, 09:30:00,2464,193.6800836
2015-04-16, 09:45:00,3421,257.1588062
2015-04-16, 10:00:00,4444,322.3729268
2015-04-16, 10:15:00,5584,392.6745001
2015-04-16, 10:30:00,4687,337.5458015
2015-04-16, 10:45:00,6659,457.1825105
2015-04-16, 11:00:00,10295,666.1230544
2015-04-16, 11:15:00,10655,686.1988551
2015-04-16, 11:30:00,11275,720.5598315
2015-04-16, 11:45:00,11085,710.0578436
2015-04-16, 12:00:00,11733,745.7771217
2015-04-16, 12:15:00,5769,403.8883402
2015-04-16, 12:30:00,12077,764.6294087
2015-04-16, 12:45:00,10836,696.2574996
2015-04-16, 13:00:00,11498,732.8551918
2015-04-16, 13:15:00,10961,703.1907168
