date,time,raw,PAR_µmol_m2_s
2014-12-11, 12:00:00,8210,333.4503474
2014-12-11, 12:15:00,8065,328.3465683
2014-12-11, 12:30:00,6597,275.9319907
2014-12-11, 12:45:00,6593,275.7871633
2014-12-11, 13:00:00,7824,319.8362928
2014-12-11, 13:15:00,12036,464.3453616
2014-12-11, 13:30:00,10129,399.939373
2014-12-11, 13:45:00,9667,384.0999486
2014-12-11, 14:00:00,8885,357.0537599
2014-12-11, 14:15:00,6930,287.948238
2014-12-11, 14:30:00,5939,251.9428233
2014-12-11, 14:45:00,4600,201.9570027
2014-12-11, 15:00:00,3257,149.7858503
2014-12-11, 15:15:00,3137,144.9968959
2014-12-11, 15:30:00,2470,117.8946833
2014-12-11, 15:45:00,1743,87.18519751
2014-12-11, 16:00:00,1601,81.00221119
2014-12-11, 16:15:00,2207,106.9475985
2014-12-11, 16:30:00,2336,112.3377772
2014-12-11, 16:45:00,1887,93.38645599
2014-12-11, 17:00:00,1331,69.03419458
2014-12-11, 17:15:00,794,44.14284952
2014-12-11, 17:30:00,372,22.90011726
2014-12-11, 17:45:00,195,13.09271448
2014-12-11, 18:00:00,44,3.608680013
2014-12-11, 18:15:00,2,0.248511964
2014-12-11, 18:30:00,0,0
2014-12-11, 18:45:00,0,0
2014-12-11, 19:00:00,0,0
2014-12-11, 19:15:00,0,0
2014-12-11, 19:30:00,0,0
2014-12-11, 19:45:00,0,0
2014-12-11, 20:00:00,0,0
2014-12-11, 20:15:00,0,0
2014-12-11, 20:30:00,0,0
2014-12-11, 20:45:00,0,0
2014-12-11, 21:00:00,0,0
2014-12-11, 21:15:00,0,0
2014-12-11, 21:30:00,0,0
2014-12-11, 21:45:00,0,0
2014-12-11, 22:00:00,0,0
2014-12-11, 22:15:00,0,0
2014-12-11, 22:30:00,0,0
2014-12-11, 22:45:00,0,0
2014-12-11, 23:00:00,0,0
2014-12-11, 23:15:00,0,0
2014-12-11, 23:30:00,0,0
2014-12-11, 23:45:00,0,0
2014-12-11, 24:00:00,0,0
2014-12-12, 00:15:00,0,0
2014-12-12, 00:30:00,0,0
2014-12-12, 00:45:00,0,0
2014-12-12, 01:00:00,0,0
2014-12-12, 01:15:00,0,0
2014-12-12, 01:30:00,0,0
2014-12-12, 01:45:00,0,0
2014-12-12, 02:00:00,0,0
2014-12-12, 02:15:00,0,0
2014-12-12, 02:30:00,0,0
2014-12-12, 02:45:00,0,0
2014-12-12, 03:00:00,0,0
2014-12-12, 03:15:00,0,0
2014-12-12, 03:30:00,0,0
2014-12-12, 03:45:00,0,0
2014-12-12, 04:00:00,0,0
2014-12-12, 04:15:00,0,0
2014-12-12, 04:30:00,0,0
2014-12-12, 04:45:00,0,0
2014-12-12, 05:00:00,0,0
2014-12-12, 05:15:00,0,0
2014-12-12, 05:30:00,0,0
2014-12-12, 05:45:00,0,0
2014-12-12, 06:00:00,0,0
2014-12-12, 06:15:00,0,0
2014-12-12, 06:30:00,0,0
2014-12-12, 06:45:00,1,0.136387867
2014-12-12, 07:00:00,29,2.515518088
2014-12-12, 07:15:00,169,11.56736578
2014-12-12, 07:30:00,365,22.52664116
2014-12-12, 07:45:00,554,32.3264333
2014-12-12, 08:00:00,696,39.38567522
2014-12-12, 08:15:00,736,41.33759191
2014-12-12, 08:30:00,1446,74.1681441
2014-12-12, 08:45:00,2094,102.1911177
2014-12-12, 09:00:00,3118,144.2364082
2014-12-12, 09:15:00,4094,182.5790346
2014-12-12, 09:30:00,6289,264.7451214
2014-12-12, 09:45:00,5759,245.3195552
2014-12-12, 10:00:00,3320,152.2905176
2014-12-12, 10:15:00,5449,233.8468727
2014-12-12, 10:30:00,5564,238.1128481
2014-12-12, 10:45:00,7596,311.7525937
2014-12-12, 11:00:00,14009,529.5485141
2014-12-12, 11:15:00,14225,536.6087954
2014-12-12, 11:30:00,9900,392.1006497
2014-12-12, 11:45:00,10164,401.1353206
2014-12-12, 12:00:00,10773,421.8580591
2014-12-12, 12:15:00,11146,434.4721843
2014-12-12, 12:30:00,13756,521.2601892
2014-12-12, 12:45:00,12941,494.4189379
2014-12-12, 13:00:00,17157,631.1145186
2014-12-12, 13:15:00,16175,599.7238969
2014-12-12, 13:30:00,14167,534.7144031
2014-12-12, 13:45:00,9923,392.8890371
2014-12-12, 14:00:00,12787,489.3219458
2014-12-12, 14:15:00,11056,431.4338259
2014-12-12, 14:30:00,13017,496.9313279
2014-12-12, 14:45:00,12602,483.1880081
2014-12-12, 15:00:00,9551,380.1071314
2014-12-12, 15:15:00,8976,360.217035
2014-12-12, 15:30:00,7529,309.3709578
2014-12-12, 15:45:00,7852,320.8268279
2014-12-12, 16:00:00,5709,243.4748521
2014-12-12, 16:15:00,2910,135.8693534
2014-12-12, 16:30:00,2339,112.462646
2014-12-12, 16:45:00,1825,90.72456127
2014-12-12, 17:00:00,1674,84.18960233
2014-12-12, 17:15:00,1282,66.82879218
2014-12-12, 17:30:00,602,34.7371721
2014-12-12, 17:45:00,356,22.0450382
2014-12-12, 18:00:00,102,7.471710669
2014-12-12, 18:15:00,7,0.735008905
2014-12-12, 18:30:00,0,0
2014-12-12, 18:45:00,0,0
2014-12-12, 19:00:00,0,0
2014-12-12, 19:15:00,0,0
2014-12-12, 19:30:00,0,0
2014-12-12, 19:45:00,0,0
2014-12-12, 20:00:00,0,0
2014-12-12, 20:15:00,0,0
2014-12-12, 20:30:00,0,0
2014-12-12, 20:45:00,0,0
2014-12-12, 21:00:00,0,0
2014-12-12, 21:15:00,0,0
2014-12-12, 21:30:00,0,0
2014-12-12, 21:45:00,0,0
2014-12-12, 22:00:00,0,0
2014-12-12, 22:15:00,0,0
2014-12-12, 22:30:00,0,0
2014-12-12, 22:45:00,0,0
2014-12-12, 23:00:00,0,0
2014-12-12, 23:15:00,0,0
2014-12-12, 23:30:00,0,0
2014-12-12, 23:45:00,0,0
2014-12-12, 24:00:00,0,0
2014-12-13, 00:15:00,0,0
2014-12-13, 00:30:00,0,0
2014-12-13, 00:45:00,0,0
2014-12-13, 01:00:00,0,0
2014-12-13, 01:15:00,0,0
2014-12-13, 01:30:00,0,0
2014-12-13, 01:45:00,0,0
2014-12-13, 02:00:00,0,0
2014-12-13, 02:15:00,0,0
2014-12-13, 02:30:00,0,0
2014-12-13, 02:45:00,0,0
2014-12-13, 03:00:00,0,0
2014-12-13, 03:15:00,0,0
2014-12-13, 03:30:00,0,0
2014-12-13, 03:45:00,0,0
2014-12-13, 04:00:00,0,0
2014-12-13, 04:15:00,0,0
2014-12-13, 04:30:00,0,0
2014-12-13, 04:45:00,0,0
2014-12-13, 05:00:00,0,0
2014-12-13, 05:15:00,0,0
2014-12-13, 05:30:00,0,0
2014-12-13, 05:45:00,0,0
2014-12-13, 06:00:00,0,0
2014-12-13, 06:15:00,0,0
2014-12-13, 06:30:00,0,0
2014-12-13, 06:45:00,1,0.136387867
2014-12-13, 07:00:00,49,3.961042155
2014-12-13, 07:15:00,254,16.45886195
2014-12-13, 07:30:00,577,33.48493971
2014-12-13, 07:45:00,1081,57.65742705
2014-12-13, 08:00:00,1472,75.32111455
2014-12-13, 08:15:00,2606,123.4932408
2014-12-13, 08:30:00,3326,152.5287224
2014-12-13, 08:45:00,2840,133.0356674
2014-12-13, 09:00:00,3025,140.5049503
2014-12-13, 09:15:00,2644,125.0504472
2014-12-13, 09:30:00,3497,159.2937282
2014-12-13, 09:45:00,3962,177.4722698
2014-12-13, 10:00:00,5144,222.4732752
2014-12-13, 10:15:00,6042,255.7206322
2014-12-13, 10:30:00,6879,286.1130357
2014-12-13, 10:45:00,8334,337.8053502
2014-12-13, 11:00:00,8136,330.8471875
2014-12-13, 11:15:00,7468,307.2001246
2014-12-13, 11:30:00,6805,283.4469358
2014-12-13, 11:45:00,7796,318.8452812
2014-12-13, 12:00:00,16341,605.0478466
2014-12-13, 12:15:00,12734,487.565882
2014-12-13, 12:30:00,12404,476.6096099
2014-12-13, 12:45:00,16127,598.1830757
2014-12-13, 13:00:00,16373,606.0733124
2014-12-13, 13:15:00,15887,590.4696804
2014-12-13, 13:30:00,15631,582.2247721
2014-12-13, 13:45:00,15298,571.4727103
2014-12-13, 14:00:00,9824,389.4937889
2014-12-13, 14:15:00,7001,290.5001097
2014-12-13, 14:30:00,10857,424.7038257
2014-12-13, 14:45:00,7382,304.13555
2014-12-13, 15:00:00,9829,389.665376
2014-12-13, 15:15:00,9217,368.5738205
2014-12-13, 15:30:00,7236,298.9218693
2014-12-13, 15:45:00,8201,333.1339159
2014-12-13, 16:00:00,6175,260.5860073
2014-12-13, 16:15:00,5230,225.6892116
2014-12-13, 16:30:00,4125,183.7751183
2014-12-13, 16:45:00,2934,136.8387846
2014-12-13, 17:00:00,2112,102.9510521
2014-12-13, 17:15:00,1486,75.94080892
2014-12-13, 17:30:00,785,43.70940678
2014-12-13, 17:45:00,355,21.99142643
2014-12-13, 18:00:00,77,5.857632339
2014-12-13, 18:15:00,4,0.452812978
2014-12-13, 18:30:00,0,0
2014-12-13, 18:45:00,0,0
2014-12-13, 19:00:00,0,0
2014-12-13, 19:15:00,0,0
2014-12-13, 19:30:00,0,0
2014-12-13, 19:45:00,0,0
2014-12-13, 20:00:00,0,0
2014-12-13, 20:15:00,0,0
2014-12-13, 20:30:00,0,0
2014-12-13, 20:45:00,0,0
2014-12-13, 21:00:00,0,0
2014-12-13, 21:15:00,0,0
2014-12-13, 21:30:00,0,0
2014-12-13, 21:45:00,0,0
2014-12-13, 22:00:00,0,0
2014-12-13, 22:15:00,0,0
2014-12-13, 22:30:00,0,0
2014-12-13, 22:45:00,0,0
2014-12-13, 23:00:00,0,0
2014-12-13, 23:15:00,0,0
2014-12-13, 23:30:00,0,0
2014-12-13, 23:45:00,0,0
2014-12-13, 24:00:00,0,0
2014-12-14, 00:15:00,0,0
2014-12-14, 00:30:00,0,0
2014-12-14, 00:45:00,0,0
2014-12-14, 01:00:00,0,0
2014-12-14, 01:15:00,0,0
2014-12-14, 01:30:00,0,0
2014-12-14, 01:45:00,0,0
2014-12-14, 02:00:00,0,0
2014-12-14, 02:15:00,0,0
2014-12-14, 02:30:00,0,0
2014-12-14, 02:45:00,0,0
2014-12-14, 03:00:00,0,0
2014-12-14, 03:15:00,0,0
2014-12-14, 03:30:00,0,0
2014-12-14, 03:45:00,0,0
2014-12-14, 04:00:00,0,0
2014-12-14, 04:15:00,0,0
