Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150810_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-10 10:18:18 AM HST,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
C7,70_11.24,D,UNKNOWN,FAM,NFQ-MGB,27.11948776,27.31856155,0.281531513,,,,TRUE,0.01,TRUE,3,20,,Y
C8,70_11.24,C,UNKNOWN,NED,NFQ-MGB,36.4667778,36.85536957,0.549551725,,,,FALSE,0.01,FALSE,3,20,,Y
C8,70_11.24,D,UNKNOWN,FAM,NFQ-MGB,27.51763344,27.31856155,0.281531513,,,,TRUE,0.01,TRUE,3,20,,Y
C9,71_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,21.07723618,21.22180939,0.204458743,,,,TRUE,0.01,TRUE,3,20,,N
C10,71_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,21.36638451,21.22180939,0.204458743,,,,TRUE,0.01,TRUE,3,20,,N
C11,71_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,28.46951103,28.49931526,0.042149547,,,,FALSE,0.01,FALSE,3,20,,N
C11,71_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,29.79769135,29.95641518,0.224469393,,,,TRUE,0.01,TRUE,3,20,,N
C12,71_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,28.52911949,28.49931526,0.042149547,,,,FALSE,0.01,FALSE,3,20,,N
C12,71_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,30.11513901,29.95641518,0.224469393,,,,TRUE,0.01,TRUE,3,20,,N
D1,69_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.7166729,24.43242073,0.401993275,,,,TRUE,0.01,TRUE,3,20,,N
D2,69_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.14816856,24.43242073,0.401993275,,,,TRUE,0.01,TRUE,3,20,,N
D3,69_11.24,C,UNKNOWN,NED,NFQ-MGB,27.66789436,27.63890076,0.041001804,,,,FALSE,0.01,FALSE,3,20,,N
D3,69_11.24,D,UNKNOWN,FAM,NFQ-MGB,29.17776489,28.86410141,0.443587154,,,,TRUE,0.01,TRUE,3,20,,N
D4,69_11.24,C,UNKNOWN,NED,NFQ-MGB,27.60990906,27.63890076,0.041001804,,,,FALSE,0.01,FALSE,3,20,,N
D4,69_11.24,D,UNKNOWN,FAM,NFQ-MGB,28.55043793,28.86410141,0.443587154,,,,TRUE,0.01,TRUE,3,20,,N
D5,70_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,21.420578,21.1595459,0.369153798,,,,TRUE,0.01,TRUE,3,20,,N
D6,70_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,20.8985157,21.1595459,0.369153798,,,,TRUE,0.01,TRUE,3,20,,N
D7,70_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,37.6987915,37.52220154,0.249735922,,,,FALSE,0.01,FALSE,3,20,,N
D7,70_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,24.03328133,24.01929283,0.019782718,,,,TRUE,0.01,TRUE,3,20,,N
D8,70_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,37.34561157,37.52220154,0.249735922,,,,FALSE,0.01,FALSE,3,20,,N
D8,70_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,24.00530434,24.01929283,0.019782718,,,,TRUE,0.01,TRUE,3,20,,N
D9,71_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,23.26017952,23.27223587,0.017048907,,,,TRUE,0.01,TRUE,3,20,,N
D10,71_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,23.28429031,23.27223587,0.017048907,,,,TRUE,0.01,TRUE,3,20,,N
D11,71_01.14,C,UNKNOWN,NED,NFQ-MGB,27.12096596,27.08740425,0.047463421,,,,FALSE,0.01,FALSE,3,20,,N
D11,71_01.14,D,UNKNOWN,FAM,NFQ-MGB,27.85275269,28.02251816,0.240083292,,,,TRUE,0.01,TRUE,3,20,,N
D12,71_01.14,C,UNKNOWN,NED,NFQ-MGB,27.05384254,27.08740425,0.047463421,,,,FALSE,0.01,FALSE,3,20,,N
D12,71_01.14,D,UNKNOWN,FAM,NFQ-MGB,28.19228172,28.02251816,0.240083292,,,,TRUE,0.01,TRUE,3,20,,N
E1,69_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,26.49786377,26.13706207,0.510251999,,,,TRUE,0.01,TRUE,3,20,,Y
E2,69_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,25.77625847,26.13706207,0.510251999,,,,TRUE,0.01,TRUE,3,20,,Y
E3,69_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,27.34622955,27.3371048,0.012903005,,,,FALSE,0.01,FALSE,3,20,,N
E3,69_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,28.41748238,28.34011078,0.109421313,,,,TRUE,0.01,TRUE,3,20,,N
E4,69_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,27.32798195,27.3371048,0.012903005,,,,FALSE,0.01,FALSE,3,20,,N
E4,69_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,28.26273727,28.34011078,0.109421313,,,,TRUE,0.01,TRUE,3,20,,N
E5,70_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,24.05424881,23.9302063,0.175422594,,,,TRUE,0.01,TRUE,3,20,,N
E6,70_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,23.80616379,23.9302063,0.175422594,,,,TRUE,0.01,TRUE,3,20,,N
E7,70_01.14,C,UNKNOWN,NED,NFQ-MGB,34.27968597,34.01979828,0.367534012,,,,FALSE,0.01,FALSE,3,20,,N
E7,70_01.14,D,UNKNOWN,FAM,NFQ-MGB,25.21170044,25.08153915,0.184074506,,,,TRUE,0.01,TRUE,3,20,,N
E8,70_01.14,C,UNKNOWN,NED,NFQ-MGB,33.7599144,34.01979828,0.367534012,,,,FALSE,0.01,FALSE,3,20,,N
E8,70_01.14,D,UNKNOWN,FAM,NFQ-MGB,24.95137978,25.08153915,0.184074506,,,,TRUE,0.01,TRUE,3,20,,N
E9,71_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.54353333,22.75571823,0.300076127,,,,TRUE,0.01,TRUE,3,20,,N
E10,71_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.96790504,22.75571823,0.300076127,,,,TRUE,0.01,TRUE,3,20,,N
E11,71_05.06,C,UNKNOWN,NED,NFQ-MGB,27.94524384,27.96508408,0.028056988,,,,FALSE,0.01,FALSE,3,20,,N
E11,71_05.06,D,UNKNOWN,FAM,NFQ-MGB,29.63939857,29.82470894,0.262068421,,,,TRUE,0.01,TRUE,3,20,,N
E12,71_05.06,C,UNKNOWN,NED,NFQ-MGB,27.98492241,27.96508408,0.028056988,,,,FALSE,0.01,FALSE,3,20,,N
E12,71_05.06,D,UNKNOWN,FAM,NFQ-MGB,30.0100193,29.82470894,0.262068421,,,,TRUE,0.01,TRUE,3,20,,N
F1,69_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,24.89462852,24.382164,0.724735618,,,,TRUE,0.01,TRUE,3,20,,Y
F2,69_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,23.86969757,24.382164,0.724735618,,,,TRUE,0.01,TRUE,3,20,,Y
F3,69_01.14,C,UNKNOWN,NED,NFQ-MGB,24.64350319,24.58908844,0.076954074,,,,FALSE,0.01,FALSE,3,20,,N
F3,69_01.14,D,UNKNOWN,FAM,NFQ-MGB,25.45683479,25.39076614,0.093436532,,,,TRUE,0.01,TRUE,3,20,,N
F4,69_01.14,C,UNKNOWN,NED,NFQ-MGB,24.53467369,24.58908844,0.076954074,,,,FALSE,0.01,FALSE,3,20,,N
F4,69_01.14,D,UNKNOWN,FAM,NFQ-MGB,25.32469559,25.39076614,0.093436532,,,,TRUE,0.01,TRUE,3,20,,N
F5,70_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,24.25290489,24.09048843,0.229692906,,,,TRUE,0.01,TRUE,3,20,,N
F6,70_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.92807007,24.09048843,0.229692906,,,,TRUE,0.01,TRUE,3,20,,N
F7,70_05.06,C,UNKNOWN,NED,NFQ-MGB,36.43084335,36.15791321,0.385984212,,,,FALSE,0.01,FALSE,3,20,,N
F7,70_05.06,D,UNKNOWN,FAM,NFQ-MGB,25.56869888,25.60360527,0.049365085,,,,TRUE,0.01,TRUE,3,20,,N
F8,70_05.06,C,UNKNOWN,NED,NFQ-MGB,35.88497925,36.15791321,0.385984212,,,,FALSE,0.01,FALSE,3,20,,N
F8,70_05.06,D,UNKNOWN,FAM,NFQ-MGB,25.63851166,25.60360527,0.049365085,,,,TRUE,0.01,TRUE,3,20,,N
F9,72_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.18468857,21.28725052,0.145044506,,,,TRUE,0.01,TRUE,3,20,,N
F10,72_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.38981247,21.28725052,0.145044506,,,,TRUE,0.01,TRUE,3,20,,N
F11,72_10.24,C,UNKNOWN,NED,NFQ-MGB,26.28870773,26.4721241,0.259389907,,,,FALSE,0.01,FALSE,3,20,,Y
F11,72_10.24,D,UNKNOWN,FAM,NFQ-MGB,27.23743057,27.63589287,0.563510776,,,,TRUE,0.01,TRUE,3,20,,Y
F12,72_10.24,C,UNKNOWN,NED,NFQ-MGB,26.65554047,26.4721241,0.259389907,,,,FALSE,0.01,FALSE,3,20,,Y
F12,72_10.24,D,UNKNOWN,FAM,NFQ-MGB,28.03435516,27.63589287,0.563510776,,,,TRUE,0.01,TRUE,3,20,,Y
G1,69_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,26.1837101,25.8840332,0.423808485,,,,TRUE,0.01,TRUE,3,20,,N
G2,69_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,25.5843544,25.8840332,0.423808485,,,,TRUE,0.01,TRUE,3,20,,N
G3,69_05.06,C,UNKNOWN,NED,NFQ-MGB,27.86938858,27.91410446,0.06323646,,,,FALSE,0.01,FALSE,3,20,,N
G3,69_05.06,D,UNKNOWN,FAM,NFQ-MGB,29.00437164,29.01299667,0.012197635,,,,TRUE,0.01,TRUE,3,20,,N
G4,69_05.06,C,UNKNOWN,NED,NFQ-MGB,27.95881844,27.91410446,0.06323646,,,,FALSE,0.01,FALSE,3,20,,N
G4,69_05.06,D,UNKNOWN,FAM,NFQ-MGB,29.0216217,29.01299667,0.012197635,,,,TRUE,0.01,TRUE,3,20,,N
G5,71_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.89302444,22.79701233,0.135781631,,,,TRUE,0.01,TRUE,3,20,,N
G6,71_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.70100021,22.79701233,0.135781631,,,,TRUE,0.01,TRUE,3,20,,N
G7,71_10.24,C,UNKNOWN,NED,NFQ-MGB,31.74092484,31.95277214,0.299597323,,,,FALSE,0.01,FALSE,3,20,,N
G7,71_10.24,D,UNKNOWN,FAM,NFQ-MGB,32.65042114,32.93576813,0.403541565,,,,TRUE,0.01,TRUE,3,20,,N
G8,71_10.24,C,UNKNOWN,NED,NFQ-MGB,32.16461945,31.95277214,0.299597323,,,,FALSE,0.01,FALSE,3,20,,N
G8,71_10.24,D,UNKNOWN,FAM,NFQ-MGB,33.22111511,32.93576813,0.403541565,,,,TRUE,0.01,TRUE,3,20,,N
G9,72_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.39377403,22.49280548,0.140050262,,,,TRUE,0.01,TRUE,3,20,,N
G10,72_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.59183502,22.49280548,0.140050262,,,,TRUE,0.01,TRUE,3,20,,N
G11,72_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,26.2449913,26.53414154,0.408918828,,,,FALSE,0.01,FALSE,3,20,,Y
G11,72_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,27.44942856,27.97392464,0.741749465,,,,TRUE,0.01,TRUE,3,20,,Y
G12,72_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,26.82328987,26.53414154,0.408918828,,,,FALSE,0.01,FALSE,3,20,,Y
G12,72_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,28.49842072,27.97392464,0.741749465,,,,TRUE,0.01,TRUE,3,20,,Y
H1,,,,,,,,,,,,,,,,,,N
H2,72_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,26.83519363,26.87202072,0.052081365,,,,FALSE,0.01,FALSE,3,20,,N
H2,72_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,28.00738144,28.01161194,0.005981481,,,,TRUE,0.01,TRUE,3,20,,N
H3,72_12.16_1:2,C,UNKNOWN,NED,NFQ-MGB,26.90884781,26.87202072,0.052081365,,,,FALSE,0.01,FALSE,3,20,,N
H3,72_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,28.01584053,28.01161194,0.005981481,,,,TRUE,0.01,TRUE,3,20,,N
H4,,,,,,,,,,,,,,,,,,N
H5,71_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.91802597,22.81939316,0.139489204,,,,TRUE,0.01,TRUE,3,20,,N
H6,71_11.04_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.72075844,22.81939316,0.139489204,,,,TRUE,0.01,TRUE,3,20,,N
H7,71_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,31.25990295,31.26014709,0.000343918,,,,FALSE,0.01,FALSE,3,20,,N
H7,71_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,33.10879517,33.05948257,0.069738537,,,,TRUE,0.01,TRUE,3,20,,N
H8,71_11.04_1:2,C,UNKNOWN,NED,NFQ-MGB,31.26038933,31.26014709,0.000343918,,,,FALSE,0.01,FALSE,3,20,,N
H8,71_11.04_1:2,D,UNKNOWN,FAM,NFQ-MGB,33.01016998,33.05948257,0.069738537,,,,TRUE,0.01,TRUE,3,20,,N
H9,NTC,Mcap,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N
H10,NTC,Mcap,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N
H11,NTC,C,NTC,NED,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N
H12,NTC,C,NTC,NED,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N
