Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150807_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-07 10:47:15 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
D3,5_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
D4,5_11.24,C,UNKNOWN,VIC,NFQ-MGB,30.53930092,30.45986557,0.11233855,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
D4,5_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
D5,6_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.15772438,22.56218719,0.571995437,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D6,6_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.9666481,22.56218719,0.571995437,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D7,6_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.37531281,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D7,6_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,23.96727371,23.83261871,0.190429583,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,6_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,37.37531281,37.37531281,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,6_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,23.69796562,23.83261871,0.190429583,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D9,8_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,20.77892685,20.70459938,0.105114914,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D10,8_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,20.63027191,20.70459938,0.105114914,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D11,8_10.24,C,UNKNOWN,VIC,NFQ-MGB,24.6114769,24.65437126,0.060661789,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D11,8_10.24,D,UNKNOWN,FAM,NFQ-MGB,25.29380798,25.3451004,0.072539784,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D12,8_10.24,C,UNKNOWN,VIC,NFQ-MGB,24.69726563,24.65437126,0.060661789,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D12,8_10.24,D,UNKNOWN,FAM,NFQ-MGB,25.39639473,25.3451004,0.072539784,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E1,5_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.8545208,23.21010399,0.911342978,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
E2,5_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.56568718,23.21010399,0.911342978,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
E3,5_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,28.74753571,28.23014069,0.731708407,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
E3,5_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
E4,5_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,27.71274376,28.23014069,0.731708407,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
E4,5_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
E5,6_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,29.81693649,29.89487648,0.110223785,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E6,6_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,29.97281647,29.89487648,0.110223785,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E7,6_01.14,C,UNKNOWN,VIC,NFQ-MGB,37.79631042,37.79631042,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E7,6_01.14,D,UNKNOWN,FAM,NFQ-MGB,26.86985588,26.84890366,0.029629571,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,6_01.14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.79631042,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,6_01.14,D,UNKNOWN,FAM,NFQ-MGB,26.82795334,26.84890366,0.029629571,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E9,8_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,20.01826859,19.86965179,0.210174531,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E10,8_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,19.72103691,19.86965179,0.210174531,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E11,8_11.04,C,UNKNOWN,VIC,NFQ-MGB,26.19091034,26.38996887,0.281509936,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E11,8_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.56728172,24.61996078,0.074500792,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,8_11.04,C,UNKNOWN,VIC,NFQ-MGB,26.5890255,26.38996887,0.281509936,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,8_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.67264175,24.61996078,0.074500792,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F1,5_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.95853043,28.65099525,0.4349204,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F2,5_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.34346008,28.65099525,0.4349204,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F3,5_01.14,C,UNKNOWN,VIC,NFQ-MGB,24.88294792,25.06698608,0.260267913,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F3,5_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F4,5_01.14,C,UNKNOWN,VIC,NFQ-MGB,25.25102234,25.06698608,0.260267913,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F4,5_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F5,7_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.15604591,26.21752167,0.086939842,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F6,7_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.27899742,26.21752167,0.086939842,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F7,7_10.24,C,UNKNOWN,VIC,NFQ-MGB,27.2418499,26.84095764,0.56694591,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
F7,7_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
F8,7_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.44006729,26.84095764,0.56694591,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
F8,7_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,Y
F9,8_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.66115379,21.83377838,0.244128034,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F10,8_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.00640297,21.83377838,0.244128034,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F11,8_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.36499786,25.51391792,0.210604772,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F11,8_11.24,D,UNKNOWN,FAM,NFQ-MGB,25.25933456,25.36075401,0.143428758,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,8_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.66283798,25.51391792,0.210604772,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,8_11.24,D,UNKNOWN,FAM,NFQ-MGB,25.46217346,25.36075401,0.143428758,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G1,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,25.66472054,24.75965881,1.27995193,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G2,5_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.85459518,24.75965881,1.27995193,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G3,5_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.74095535,25.76537704,0.034536138,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G3,5_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G4,5_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.78979683,25.76537704,0.034536138,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G4,5_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G5,7_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,22.28181076,21.92953873,0.498186529,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G6,7_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.5772686,21.92953873,0.498186529,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G7,7_11.04,C,UNKNOWN,VIC,NFQ-MGB,27.70295906,27.93420982,0.32703796,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G7,7_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G8,7_11.04,C,UNKNOWN,VIC,NFQ-MGB,28.16546059,27.93420982,0.32703796,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G8,7_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
G9,8_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,20.89052963,21.42629814,0.757691085,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G10,8_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,21.96206665,21.42629814,0.757691085,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G11,8_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,26.18079567,26.38435364,0.287875801,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G11,8_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,23.60146141,23.79166412,0.268987268,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G12,8_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,26.58791351,26.38435364,0.287875801,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G12,8_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,23.98186684,23.79166412,0.268987268,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,8_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.88627434,30.2121048,4.703433037,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H2,8_01.14,D,UNKNOWN,FAM,NFQ-MGB,25.93333054,28.37753296,3.456624269,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H3,8_01.14,C,UNKNOWN,VIC,NFQ-MGB,33.53793335,30.2121048,4.703433037,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H3,8_01.14,D,UNKNOWN,FAM,NFQ-MGB,30.82173538,28.37753296,3.456624269,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H4,,,,,,,,,,,,,,,,,,N,N,N
H5,7_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,26.97618866,25.75536346,1.726507545,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H6,7_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.53453827,25.75536346,1.726507545,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H7,7_11.24,C,UNKNOWN,VIC,NFQ-MGB,35.66397476,32.96584702,3.815728903,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H7,7_11.24,D,UNKNOWN,FAM,NFQ-MGB,36.37205505,34.60873413,2.493715048,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H8,7_11.24,C,UNKNOWN,VIC,NFQ-MGB,30.26771927,32.96584702,3.815728903,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H8,7_11.24,D,UNKNOWN,FAM,NFQ-MGB,32.84540939,34.60873413,2.493715048,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H9,NTC,Mcap,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H10,NTC,Mcap,NTC,FAM,NFQ-MGB,8.535978317,,,,,,FALSE,0.01,FALSE,3,20,,Y,N,N
H11,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
