# Constructed from biom file
#OTU ID	6K	58K	128K	127K	3K	66K	20K	110K	11K
denovo0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo3	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo6	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo9	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo12	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo15	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
denovo16	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo17	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo18	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo19	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo20	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
denovo21	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo22	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo23	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo24	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo26	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo27	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo28	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
denovo29	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo30	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo31	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo32	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo33	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
denovo34	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo35	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo36	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo37	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo38	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo39	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo40	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo41	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo42	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo43	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo44	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo45	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo46	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo47	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo48	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo49	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo50	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo51	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo52	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo53	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
denovo54	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo55	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo56	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo57	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo58	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0
denovo59	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
denovo60	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
denovo61	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
denovo62	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
denovo63	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
denovo64	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
